,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HTECH       ,,,,,,,,  41.70 ,  38.23 ,  44.21 ,  49.10 ,  41.83 ,  42.32 ,  41.26 
HYDRO       ,,,,,,,,,,  70.55 ,  12.79 ,,,
ICC         ,  41.90 ,  63.30 ,  42.63 ,  42.35 ,  39.63 ,  39.79 ,  37.33 ,  44.56 ,  39.46 ,  42.95 ,  37.37 ,  50.95 ,  55.97 ,  43.40 
IEC         ,,,,,,,,,,,,,,
IFEC        ,,,,,,  14.23 ,  49.86 ,  55.86 ,  55.86 ,  159.34 ,  60.48 ,  31.71 ,  24.34 ,  71.67 
IFS         ,,,,,,,,,  47.11 ,  69.28 ,  50.49 ,  50.73 ,  49.34 ,  55.03 
IHL         ,,,,  12.41 ,  73.59 ,,,  192.55 ,  71.46 ,  34.06 ,  24.10 ,  63.92 ,  97.57 ,  52.04 
ILINK       ,,,  37.96 ,  38.14 ,  39.99 ,  39.30 ,  31.39 ,  40.00 ,  40.44 ,  41.47 ,  41.56 ,  8.66 ,  3.31 ,  32.86 
INET        ,  77.68 ,  84.63 ,  76.19 ,  83.08 ,  56.83 ,  (279.35),  (42.52),  102.38 ,  (59.02),,,,,  9.59 
INOX        ,,,  44.82 ,  56.14 ,  56.68 ,  58.14 ,,,  24.25 ,,,,,  87.80 
INSURE      ,  68.33 ,  59.82 ,  56.90 ,,,  70.97 ,,,,,,,,
INTUCH      ,  27.80 ,  49.92 ,  68.38 ,  91.33 ,  215.55 ,  99.90 ,  135.90 ,  118.27 ,  269.81 ,  106.45 ,  87.91 ,  99.71 ,  96.88 ,  97.12 
IRC         ,  30.76 ,  31.30 ,  32.59 ,  33.92 ,  33.67 ,  32.80 ,  32.46 ,  32.23 ,  32.41 ,  32.39 ,  40.01 ,  40.00 ,  40.00 ,  40.00 
IRCP        ,,  68.83 ,  83.72 ,  87.02 ,  62.32 ,,,,,  27.37 ,  31.98 ,  208.56 ,  41.96 ,  69.92 
IRPC        ,,,,,  34.30 ,  45.05 ,  (19.39),  65.88 ,  58.97 ,  59.71 ,  (170.49),  247.31 ,  (31.23),  47.82 
IT          ,,  50.00 ,  50.71 ,  68.59 ,  68.30 ,  69.93 ,  99.63 ,  99.50 ,  99.55 ,  87.98 ,  83.98 ,,,  78.19 
ITD         ,,  20.31 ,  24.11 ,  19.94 ,,  29.04 ,,,  70.38 ,,,,,
IVL         ,,,,,,,,,  30.09 ,  30.92 ,  37.58 ,  101.67 ,  123.16 ,  34.96 
JAS         ,,,,,  52.84 ,,,,  21.84 ,  16.83 ,  30.07 ,  59.43 ,  360.05 ,  18.16 
JCT         ,,  56.29 ,  69.02 ,  67.13 ,  98.72 ,  82.09 ,  72.08 ,  61.01 ,  69.56 ,  58.29 ,  57.93 ,  59.92 ,  54.93 ,  55.45 
JMART       ,,,,,,,,  76.52 ,  75.76 ,  69.94 ,  65.88 ,  61.38 ,  73.26 ,  76.40 
JTS         ,,,,,  67.06 ,  58.83 ,,  45.39 ,  (55.76),,  (19.80),,,
JUBILE      ,,,,,,,,  59.26 ,  57.58 ,  68.09 ,  62.51 ,  60.15 ,  60.32 ,  61.14 
JUTHA       ,,,,,  32.69 ,  19.46 ,,  13.20 ,,,,,,
