Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EE          ,  15.28 ,  15.88 ,  15.27 ,  15.20 ,  14.27 ,  22.46 ,  14.61 ,  19.17 ,  637.71 ,  971.48 ,  843.43 ,  785.11 ,  961.17 ,  668.24 
EGCO        ,  7.99 ,  7.19 ,  8.31 ,  9.03 ,  9.28 ,  9.74 ,  10.15 ,  12.58 ,  17.07 ,  21.91 ,  16.80 ,  15.33 ,  17.18 ,  17.96 
EIC         ,,  7.71 ,  7.20 ,  12.09 ,  15.78 ,  11.54 ,  12.60 ,  22.36 ,  14.28 ,  18.16 ,  21.60 ,  18.63 ,  29.15 ,  65.62 
EMC         ,  22.41 ,  7.06 ,  2.98 ,  3.20 ,  2.73 ,  2.87 ,  4.27 ,  3.60 ,  3.92 ,  3.12 ,  2.80 ,  6.30 ,  8.16 ,  27.23 
EPCO        ,  24.95 ,  5.34 ,  4.85 ,  4.98 ,  5.53 ,  5.02 ,  6.83 ,  7.06 ,  6.92 ,  7.48 ,  11.89 ,  12.60 ,  14.88 ,  16.52 
ERW         ,  33.81 ,  26.19 ,  24.79 ,  24.64 ,  23.29 ,  25.77 ,  28.06 ,  29.14 ,  27.58 ,  28.27 ,  26.36 ,  27.80 ,  28.13 ,  26.14 
ESSO        ,,,,,,,  2.19 ,  2.90 ,  2.63 ,  2.27 ,  2.09 ,  2.31 ,  2.68 ,  3.55 
ESTAR       ,  113.19 ,  131.32 ,  171.69 ,  108.39 ,  54.58 ,  20.12 ,  22.76 ,  31.78 ,  27.66 ,  63.55 ,  64.70 ,  21.51 ,  22.89 ,  13.25 
EVER        ,  183.17 ,  37.43 ,,,  15.43 ,  31.77 ,  20.15 ,  63.03 ,  78.46 ,  10.03 ,  131.66 ,  24.49 ,  23.00 ,  36.25 
F&D         ,  12.89 ,  13.54 ,  14.74 ,  11.82 ,  9.04 ,  10.34 ,  10.36 ,  9.21 ,  7.62 ,  9.21 ,  7.41 ,  17.15 ,  18.81 ,  24.57 
FANCY       ,  5.35 ,  5.45 ,  6.32 ,  7.11 ,,  10.85 ,  12.98 ,  11.30 ,  13.18 ,  29.93 ,  41.30 ,  66.35 ,  35.75 ,  33.80 
FE          ,  35.53 ,  40.64 ,  42.74 ,  44.87 ,  46.64 ,  47.91 ,  47.93 ,  41.39 ,  44.55 ,  4.16 ,  3.89 ,  4.44 ,  6.18 ,  5.76 
FMT         ,  9.63 ,  8.68 ,  5.96 ,  5.24 ,  4.41 ,  3.90 ,  3.74 ,  5.68 ,  4.35 ,  3.88 ,  3.71 ,  4.64 ,  3.69 ,  4.78 
FNS         ,  95.39 ,  138.46 ,  152.31 ,  274.42 ,  309.50 ,  67.55 ,  328.46 ,  619.14 ,,,"  12,798.60 ",,"  18,114.97 ","  37,477.92 "
FOCUS       ,,,  7.47 ,  6.34 ,  3.71 ,  6.18 ,  5.67 ,  7.42 ,  18.85 ,  6.91 ,  4.91 ,  6.04 ,  10.89 ,  14.82 
FORTH       ,,,,,  13.96 ,  9.94 ,  5.25 ,  4.39 ,  4.60 ,  7.27 ,  10.26 ,  14.62 ,  17.72 ,  16.26 
FSS         ,,,  16.95 ,  29.78 ,  42.75 ,  42.13 ,  47.46 ,  30.61 ,  34.03 ,  87.10 ,  80.84 ,  75.54 ,  78.73 ,  82.97 
GBX         ,,,  19.93 ,  19.74 ,  93.18 ,  86.57 ,  115.40 ,  83.32 ,  63.86 ,  74.48 ,  94.22 ,  80.79 ,  84.56 ,  71.44 
GC          ,,,,  2.65 ,  2.88 ,  2.93 ,  3.69 ,  3.72 ,  3.10 ,  3.32 ,  3.43 ,  4.04 ,  3.61 ,  3.56 
GENCO       ,  26.88 ,  21.54 ,  18.32 ,  16.32 ,  18.77 ,  18.04 ,  16.95 ,  50.05 ,  20.23 ,  29.70 ,  25.17 ,  23.48 ,  23.96 ,  30.69 
GFPT        ,  7.01 ,  8.01 ,  9.30 ,  7.86 ,  7.87 ,  8.13 ,  7.03 ,  6.33 ,  6.84 ,  6.16 ,  6.54 ,  6.57 ,  6.54 ,  7.11 
GJS         ,"  1,284.66 ",  921.53 ,  5.55 ,  5.25 ,  7.41 ,  6.11 ,  12.82 ,  14.47 ,  10.88 ,  6.81 ,  19.08 ,  14.66 ,  6.10 ,  6.37 
GL          ,,,  68.36 ,  58.95 ,  53.81 ,  61.06 ,  44.97 ,  17.69 ,  23.24 ,  32.63 ,  46.54 ,  24.99 ,  25.91 ,  16.91 
GLAND       ,  44.68 ,  13.96 ,  16.80 ,  24.14 ,  24.47 ,  21.31 ,  27.75 ,  93.58 ,  56.36 ,  198.60 ,  19.44 ,  12.00 ,  12.54 ,  11.17 
GLOBAL      ,,,,,,,,  9.52 ,  6.09 ,  5.86 ,  6.25 ,  7.39 ,  7.40 ,  8.27 
GLOW        ,,,,  1.86 ,  2.02 ,  1.60 ,  1.78 ,  1.87 ,  1.40 ,  1.34 ,  1.18 ,  1.11 ,  1.09 ,  1.24 
GOLD        ,  26.76 ,  27.12 ,  21.31 ,  31.87 ,  17.26 ,  23.37 ,  32.81 ,  40.09 ,  30.84 ,  44.74 ,  48.03 ,  38.75 ,  28.18 ,  22.20 
GRAMMY      ,  34.12 ,  31.78 ,  28.99 ,  37.35 ,  37.54 ,,  32.54 ,  33.62 ,  32.32 ,  33.11 ,  32.69 ,  43.10 ,  44.66 ,  48.00 
GRAND       ,,,  28.04 ,  25.08 ,  21.47 ,  54.78 ,  43.14 ,  71.00 ,  62.19 ,  61.65 ,  73.11 ,  56.78 ,  16.78 ,  49.52 
GUNKUL      ,,,,,,,,,  14.50 ,  10.83 ,  8.78 ,  16.07 ,  13.27 ,  11.71 
GYT         ,  8.81 ,  8.32 ,  9.35 ,  8.01 ,  9.92 ,  9.24 ,  11.65 ,  10.09 ,  8.55 ,  9.66 ,  11.89 ,  11.65 ,  12.77 ,  12.57 
HANA        ,  7.16 ,  6.63 ,  5.90 ,  6.07 ,  5.33 ,  5.52 ,  5.95 ,  5.60 ,  4.05 ,  5.77 ,  5.88 ,  5.02 ,  4.68 ,  5.43 
