,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DTCI        ,  26.59 ,  23.55 ,  22.33 ,  22.13 ,  22.60 ,  24.63 ,  25.49 ,  25.91 ,  26.77 ,  26.68 ,  27.03 ,  29.28 ,  29.24 ,  30.74 
E           ,,,,  0.06 ,  0.05 ,  0.84 ,  0.87 ,  0.87 ,  1.04 ,  1.06 ,  1.20 ,  1.08 ,  0.96 ,  0.86 
EARTH       ,  0.52 ,  0.65 ,  0.50 ,  0.30 ,  0.19 ,  0.12 ,  (0.04),  (0.08),  0.15 ,,,,  1.78 ,  3.06 
EASON       ,,,,  1.63 ,  1.92 ,  1.99 ,  1.83 ,  1.84 ,  1.87 ,  1.66 ,  2.02 ,  2.07 ,  2.12 ,  2.23 
EASTW       ,  2.79 ,  2.92 ,  3.55 ,  3.08 ,  3.30 ,  3.39 ,  3.68 ,  3.81 ,  3.98 ,  4.17 ,  4.40 ,  4.75 ,  5.10 ,  5.59 
ECL         ,,,  0.22 ,  1.10 ,  1.10 ,  1.08 ,  1.14 ,  1.15 ,  1.15 ,  1.16 ,  1.16 ,  1.14 ,  1.15 ,  1.24 
EE          ,  0.01 ,  0.01 ,  0.01 ,  0.01 ,  0.63 ,  0.58 ,  0.59 ,  0.55 ,  0.54 ,  0.53 ,  0.55 ,  0.56 ,  0.56 ,  0.52 
EGCO        ,  38.41 ,  49.09 ,  53.42 ,  58.96 ,  67.26 ,  78.78 ,  85.60 ,  96.06 ,  103.16 ,  110.13 ,  128.09 ,  131.57 ,  139.16 ,  146.72 
EIC         ,,  0.27 ,  0.29 ,  0.28 ,  0.28 ,  1.49 ,  1.51 ,  1.38 ,  1.39 ,  1.37 ,  1.33 ,  1.29 ,  0.96 ,  0.74 
EMC         ,  (3.88),  (2.13),  0.90 ,  0.90 ,  0.96 ,  1.05 ,  1.12 ,  1.01 ,  0.93 ,  0.97 ,  1.03 ,  0.16 ,  0.31 ,  0.30 
EPCO        ,  0.35 ,  0.28 ,  0.38 ,  0.41 ,  0.42 ,  1.24 ,  1.10 ,  1.12 ,  1.09 ,  1.26 ,  1.28 ,  1.43 ,  1.81 ,  1.81 
ERW         ,  2.39 ,  2.99 ,  1.94 ,  1.99 ,  1.43 ,  1.65 ,  1.63 ,  1.52 ,  1.39 ,  1.60 ,  1.56 ,  2.03 ,  1.84 ,  1.88 
ESSO        ,,,,,,,  5.90 ,  6.95 ,  7.20 ,  7.09 ,  6.62 ,  6.52 ,  3.56 ,  3.98 
ESTAR       ,  0.76 ,  0.86 ,  0.88 ,  0.85 ,  0.85 ,  0.89 ,  0.91 ,  0.91 ,  0.93 ,  0.83 ,  0.80 ,  0.85 ,  0.91 ,  0.90 
EVER        ,"  (79,895.87)",  (7.91),,,  1.33 ,  1.35 ,  1.35 ,  0.87 ,  0.77 ,  0.64 ,  0.52 ,  0.64 ,  0.74 ,  0.72 
F&D         ,  28.60 ,  29.77 ,  27.80 ,  26.85 ,  23.46 ,  22.59 ,  23.48 ,  31.66 ,  35.12 ,  34.93 ,  38.59 ,  36.39 ,  34.56 ,  29.06 
FANCY       ,  2.07 ,  3.23 ,  3.24 ,  3.28 ,  3.02 ,  3.10 ,  3.09 ,  3.11 ,  2.99 ,  2.83 ,  2.68 ,  2.74 ,  2.68 ,  2.51 
FE          ,  62.30 ,  72.73 ,  75.56 ,  78.91 ,  83.42 ,  85.51 ,  87.70 ,  93.28 ,  102.81 ,  106.01 ,  117.17 ,  118.77 ,  121.72 ,  129.10 
