Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GL          ,,,  0.08 ,  0.12 ,  0.12 ,  0.16 ,  0.29 ,  0.27 ,  0.39 ,  0.26 ,  0.43 ,  0.23 ,  0.11 ,  0.38 
GLAND       ,  0.85 ,  0.34 ,  0.26 ,  0.05 ,  0.09 ,  0.09 ,  0.08 ,  (0.00),  (0.02),  (0.00),  0.01 ,  0.09 ,  0.15 ,  0.29 
GLOBAL      ,,,,,,,,  0.13 ,  0.13 ,  0.17 ,  0.17 ,  0.24 ,  0.19 ,  0.24 
GLOW        ,,,,  2.64 ,  3.83 ,  3.27 ,  2.42 ,  2.86 ,  3.91 ,  2.39 ,  3.80 ,  4.93 ,  6.25 ,  5.71 
GOLD        ,  0.39 ,  0.70 ,  0.55 ,  (0.47),  0.42 ,  1.28 ,  (0.71),  (0.48),  (0.40),  (0.20),  (0.54),  (0.34),  0.19 ,  0.40 
GRAMMY      ,  1.24 ,  0.98 ,  1.31 ,  0.39 ,  0.40 ,  0.96 ,  1.35 ,  0.90 ,  0.92 ,  1.10 ,  (0.61),  (2.01),  (2.82),  (1.40)
GRAND       ,,,  0.09 ,  0.05 ,  (0.08),  (0.77),  (0.19),  (0.41),  0.55 ,  0.16 ,  (0.14),  (0.05),  0.21 ,  (0.04)
GUNKUL      ,,,,,,,,,  0.02 ,  0.02 ,  0.15 ,  0.17 ,  0.10 ,  0.11 
GYT         ,  32.91 ,  34.25 ,  43.61 ,  39.58 ,  29.31 ,  17.92 ,  4.06 ,  31.52 ,  45.25 ,  (16.19),  120.50 ,  44.47 ,  32.05 ,  52.09 
HANA        ,  (1.12),  2.05 ,  2.33 ,  2.55 ,  2.68 ,  2.95 ,  2.30 ,  2.46 ,  3.31 ,  1.95 ,  2.06 ,  2.90 ,  4.23 ,  2.57 
HFT         ,,  0.01 ,  0.01 ,  (0.01),  (0.04),  0.05 ,  0.12 ,  0.18 ,  0.18 ,  0.19 ,  0.24 ,  0.49 ,  0.44 ,  0.63 
HMPRO       ,  0.01 ,  0.02 ,  0.04 ,  0.04 ,  0.05 ,  0.06 ,  0.07 ,  0.09 ,  0.13 ,  0.15 ,  0.20 ,  0.23 ,  0.25 ,  0.27 
HTC         ,  0.39 ,  0.30 ,  0.29 ,  0.07 ,  0.28 ,  0.02 ,  0.12 ,  0.24 ,  0.41 ,  0.22 ,  0.71 ,  0.92 ,  0.58 ,  0.51 
HTECH       ,,,,,,,,  0.25 ,  0.37 ,  0.36 ,  0.35 ,  0.19 ,  0.26 ,  0.24 
HYDRO       ,,,,,,,,,,  0.15 ,  0.18 ,  (0.03),  (0.46),  (0.23)
ICC         ,  2.15 ,  1.41 ,  2.32 ,  2.36 ,  2.52 ,  2.51 ,  2.68 ,  2.24 ,  2.79 ,  2.56 ,  3.34 ,  2.36 ,  1.88 ,  2.42 
IEC         ,  (0.05),  (0.01),  (0.01),  (0.01),  (0.03),  0.01 ,  (0.04),  (0.01),  (0.01),  (0.00),  (0.00),  0.00 ,  0.00 ,  0.00 
