Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ESTAR       ,  0.10 ,  0.05 ,  -   ,  0.03 ,  0.00 ,  0.02 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.13 ,  0.21 ,  0.14 
EVER        ,  (0.00),  (0.46),,,  1.67 ,  1.12 ,  0.85 ,  1.13 ,  1.11 ,  0.75 ,  0.46 ,  0.71 ,  0.22 ,  0.21 
F&D         ,  0.35 ,  0.24 ,  0.42 ,  0.93 ,  1.17 ,  1.07 ,  0.95 ,  0.48 ,  0.31 ,  0.28 ,  0.20 ,  0.20 ,  0.27 ,  0.42 
FANCY       ,  0.18 ,  0.04 ,  -   ,  -   ,  0.02 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.01 ,  -   ,  0.09 
FE          ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
FMT         ,  1.42 ,  1.43 ,  1.61 ,  1.53 ,  2.07 ,  1.74 ,  1.30 ,  1.41 ,  1.44 ,  1.66 ,  1.07 ,  1.06 ,  0.61 ,  0.30 
FNS         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
FOCUS       ,,,  0.00 ,  0.01 ,  0.04 ,  0.01 ,  0.83 ,  0.34 ,  0.54 ,  0.77 ,  0.98 ,  1.05 ,  2.25 ,  1.15 
FORTH       ,,,,,  0.61 ,  0.92 ,  1.62 ,  1.48 ,  2.25 ,  2.27 ,  1.50 ,  1.34 ,  1.37 ,  1.10 
FSS         ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
GBX         ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
GC          ,,,,  1.29 ,  0.90 ,  0.98 ,  0.86 ,  0.58 ,  0.85 ,  0.86 ,  1.28 ,  1.58 ,  1.43 ,  1.51 
GENCO       ,  0.06 ,  0.03 ,  0.02 ,  0.00 ,  0.02 ,  0.01 ,  0.12 ,  0.13 ,  0.07 ,  0.02 ,  0.00 ,  -   ,  0.21 ,  0.16 
GFPT        ,  0.46 ,  0.36 ,  0.77 ,  0.29 ,  0.33 ,  0.62 ,  0.52 ,  0.61 ,  0.56 ,  0.50 ,  1.04 ,  0.57 ,  0.41 ,  0.44 
