Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DTAC        ,,,,,,  11.27 ,  16.76 ,  10.87 ,  16.58 ,  22.78 ,  32.32 ,  31.25 ,  32.86 ,  19.71 
DTC         ,  14.30 ,  9.84 ,  16.91 ,  6.92 ,  5.97 ,  3.17 ,  5.57 ,  (2.80),  2.78 ,  0.79 ,  3.81 ,  3.86 ,  (0.46),  4.41 
DTCI        ,  (7.55),  (12.14),  (5.24),  (0.93),  2.21 ,  8.64 ,  3.45 ,  1.62 ,  4.56 ,  5.56 ,  4.81 ,  4.35 ,  1.16 ,  5.90 
E           ,,,,  3.41 ,  (22.38),  (40.74),  (33.88),  0.67 ,  13.72 ,  2.45 ,  (2.72),  (6.57),  (16.75),  (17.05)
EARTH       ,  (202.23),  3.13 ,  (25.67),  (48.92),  (47.13),  (44.02),  (407.73),  83.29 ,  44.14 ,,,,  21.65 ,  12.83 
EASON       ,,,,  17.36 ,  15.26 ,  12.15 ,  10.78 ,  12.80 ,  10.59 ,  10.55 ,  19.84 ,  15.98 ,  10.62 ,  11.09 
EASTW       ,  10.53 ,  10.78 ,  12.92 ,  13.25 ,  12.15 ,  9.76 ,  2.39 ,  12.96 ,  14.03 ,  14.87 ,  17.40 ,  17.30 ,  16.29 ,  17.83 
ECL         ,,,  2.73 ,  4.27 ,  3.70 ,  (1.97),  6.54 ,  6.08 ,  5.78 ,  4.56 ,  7.88 ,  7.95 ,  8.03 ,  7.00 
EE          ,  9.51 ,  (6.58),  6.10 ,  4.95 ,  (7.26),  (8.37),  (1.38),  (7.15),  (2.97),  (0.63),  4.15 ,  0.77 ,  0.02 ,  (6.82)
EGCO        ,  15.26 ,  26.02 ,  17.28 ,  13.83 ,  18.17 ,  21.86 ,  16.01 ,  16.60 ,  12.95 ,  8.89 ,  17.51 ,  10.12 ,  10.76 ,  5.74 
EIC         ,,  10.85 ,  10.97 ,  4.42 ,  2.88 ,  8.06 ,  7.60 ,  (4.48),  1.53 ,  1.36 ,  (1.11),  (2.25),  (40.31),  (42.26)
EMC         ,  (20.39),  (39.85),  93.78 ,  3.78 ,  5.78 ,  20.10 ,  10.96 ,  (9.25),  (8.06),  2.34 ,  3.74 ,  (230.02),  (28.03),  (15.89)
EPCO        ,  (425.02),  (20.82),  29.01 ,  24.43 ,  20.31 ,  22.54 ,  20.35 ,  16.83 ,  18.80 ,  12.87 ,  9.54 ,  17.70 ,  20.44 ,  17.87 
ERW         ,  2.47 ,  10.23 ,  9.74 ,  7.22 ,  12.78 ,  12.47 ,  2.14 ,  (6.49),  (8.41),  14.62 ,  2.98 ,  21.92 ,  (2.33),  4.28 
ESSO        ,,,,,,,  (33.63),  20.01 ,  6.75 ,  3.80 ,  (7.16),  (1.66),  (59.28),  13.03 
ESTAR       ,  (5.79),  7.07 ,  2.51 ,  (3.69),  0.53 ,  3.55 ,  2.70 ,  0.54 ,  1.14 ,  (3.65),  (3.51),  3.61 ,  6.34 ,  2.92 
EVER        ,  7.69 ,  0.81 ,,,  11.17 ,  1.24 ,  0.20 ,  (43.19),  (11.45),  47.32 ,  (11.98),  (1.06),  (0.93),  (3.95)
F&D         ,  14.02 ,  12.58 ,  1.83 ,  (2.39),  (13.50),  (3.78),  3.90 ,  17.55 ,  13.08 ,  4.92 ,  8.34 ,  2.16 ,  (4.60),  (17.29)
FANCY       ,  59.13 ,  22.18 ,  19.12 ,  10.74 ,  (1.46),  2.76 ,  (0.23),  5.78 ,  3.93 ,  (2.44),  (5.30),  2.13 ,  1.59 ,  (6.13)
FE          ,  12.75 ,  11.87 ,  9.87 ,  9.97 ,  9.53 ,  9.14 ,  9.24 ,  11.47 ,  12.97 ,  14.32 ,  13.92 ,  11.53 ,  7.40 ,  10.86 
FMT         ,  14.06 ,  14.83 ,  18.68 ,  12.71 ,  3.08 ,  1.46 ,  5.23 ,  (18.14),  6.79 ,  1.92 ,  (1.26),  3.01 ,  6.90 ,  8.66 
FNS         ,  14.62 ,  24.39 ,  17.46 ,  3.29 ,  (6.20),  (11.10),  (29.37),  (29.11),  0.61 ,  (11.70),  (2.73),  5.07 ,  3.49 ,  30.09 
FOCUS       ,,,  1.13 ,  1.38 ,  4.21 ,  6.03 ,  (3.77),  (14.62),  (53.41),  13.07 ,  46.21 ,  (12.42),  (22.67),  2.47 
FORTH       ,,,,,  18.90 ,  18.25 ,  (6.94),  6.68 ,  26.03 ,  26.92 ,  6.66 ,  17.40 ,  20.47 ,  25.06 
FSS         ,,,  14.48 ,  3.86 ,  (0.78),  (1.20),  (11.76),  1.88 ,  11.20 ,  6.09 ,  12.05 ,  22.30 ,  11.04 ,  6.07 
GBX         ,,,  6.19 ,  12.61 ,  (0.83),  0.81 ,  (9.79),  4.27 ,  4.94 ,  3.28 ,  1.18 ,  3.33 ,  2.46 ,  0.85 
GC          ,,,,  12.29 ,  21.74 ,  31.81 ,  21.35 ,  25.82 ,  30.51 ,  19.93 ,  19.72 ,  17.52 ,  12.08 ,  19.56 
GENCO       ,  (0.70),  (6.19),  (20.06),  1.15 ,  1.32 ,  6.21 ,  1.17 ,  (7.01),  0.30 ,  2.00 ,  2.63 ,  1.04 ,  0.01 ,  0.06 
GFPT        ,  21.35 ,  8.36 ,  (16.35),  12.06 ,  3.42 ,  9.37 ,  32.97 ,  25.86 ,  23.66 ,  21.39 ,  0.71 ,  23.28 ,  22.24 ,  13.31 
GJS         ,  3.59 ,  (434.28),  3.28 ,  (4.02),  (18.84),  (0.87),  (16.33),  (31.72),  (24.10),  (10.05),  (18.16),  (13.28),  (3.06),  (11.92)
GL          ,,,  14.43 ,  20.72 ,  18.37 ,  21.20 ,  27.72 ,  21.58 ,  27.35 ,  18.23 ,  24.33 ,  12.49 ,  4.81 ,  11.55 
GLAND       ,  (132.29),  88.98 ,  26.60 ,  4.43 ,  8.25 ,  7.55 ,  6.62 ,  (0.56),  (1.65),  (0.01),  0.99 ,  7.11 ,  11.69 ,  18.84 
GLOBAL      ,,,,,,,,  14.92 ,  14.35 ,  13.89 ,  8.91 ,  9.05 ,  5.76 ,  6.07 
GLOW        ,,,,  15.65 ,  22.02 ,  17.48 ,  12.14 ,  13.80 ,  17.66 ,  10.27 ,  15.65 ,  18.65 ,  21.28 ,  17.80 
GOLD        ,  5.22 ,  8.40 ,  6.09 ,  (5.19),  4.67 ,  12.96 ,  (7.08),  (5.06),  (4.47),  (3.68),  (9.35),  (6.95),  4.45 ,  8.38 
GRAMMY      ,  19.92 ,  15.56 ,  22.25 ,  6.63 ,  7.14 ,  17.05 ,  23.70 ,  17.16 ,  16.96 ,  20.45 ,  (11.73),  (42.49),  (74.79),  (46.15)
