ROA(%),ROE(%),กำไรต่อหุ้น (บาท),กำไรสุทธิ,งวดงบการเงิน ณ วันที่,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,สินทรัพย์รวม,ส่วนของผู้ถือหุ้น,หนี้สินรวม,อัตรากำไรสุทธิ(%),Stock
5.91,9.46,0.50,182.63,31/12/2558,361.82,"8,093.55","6,175.33","2,017.89","4,157.44",2.26,ASIAN
4.57,7.30,0.43,154.64,31/12/2559,361.82,"9,347.97","6,325.59","2,217.47","4,108.13",1.65,ASIAN
7.73,17.58,0.77,418.02,31/12/2560,542.73,"9,888.02","6,810.68","2,538.59","4,272.09",4.23,ASIAN
11.42,16.01,0.69,550.15,31/12/2558,"4,567.23","7,758.95","7,213.28","4,696.57","2,511.35",7.09,BR
5.41,4.65,0.23,212.93,31/12/2559,"4,567.23","8,107.86","8,625.13","4,462.18","4,160.25",2.63,BR
8.27,11.92,0.61,553.95,31/12/2560,"4,567.23","8,877.73","9,229.52","4,833.95","4,392.16",6.24,BR
8.69,17.99,0.44,235.97,31/12/2557,676.75,"3,954.03","5,385.67","1,988.14","3,397.26",5.97,BRR
7.43,13.22,0.40,271.96,31/12/2558,676.75,"4,295.86","6,762.11","2,125.58","4,635.93",6.33,BRR
4.57,5.36,0.17,113.08,31/12/2559,676.75,"4,685.53","7,226.86","2,091.94","5,134.09",2.41,BRR
10.88,23.00,0.65,524.73,31/12/2560,812.10,"5,928.18","9,232.74","2,471.20","6,760.20",8.85,BRR
22.01,26.20,1.22,913.14,31/12/2557,"1,000.00","7,574.64","7,063.51","6,028.62","1,034.89",12.06,CBG
20.33,20.31,1.26,"1,255.53",31/12/2558,"1,000.00","7,874.32","7,361.46","6,333.35","1,028.11",15.94,CBG
19.68,22.56,1.49,"1,489.76",31/12/2559,"1,000.00","10,112.15","9,778.49","6,873.04","2,678.95",14.73,CBG
9.95,17.81,1.25,"1,245.81",31/12/2560,"1,000.00","13,067.77","12,519.92","7,113.78","5,514.61",9.53,CBG
13.85,30.05,0.89,409.57,31/12/2557,463.55,"8,503.71","4,229.61","1,579.00","2,545.63",4.82,CFRESH
12.59,25.20,0.99,458.58,31/12/2558,463.55,"7,979.45","5,264.34","2,061.04","3,032.34",5.75,CFRESH
11.41,12.68,0.56,257.81,31/12/2559,463.55,"7,618.53","5,001.15","2,004.45","2,754.80",3.38,CFRESH
3.64,-0.42,-0.02,-8.14,31/12/2560,463.55,"7,521.95","5,615.65","1,869.78","3,448.96",-0.11,CFRESH
4.96,4.66,0.16,60.43,31/12/2557,381.15,"1,433.35","1,387.03","1,267.50",119.53,4.22,CM
10.55,9.14,0.31,119.56,31/12/2558,381.15,"1,432.20","1,488.71","1,348.94",139.76,8.35,CM
15.70,13.94,0.52,196.38,31/12/2559,381.15,"1,487.30","1,617.52","1,469.09",148.43,13.20,CM
12.41,11.01,0.42,160.41,31/12/2560,381.15,"1,407.71","1,575.69","1,443.79",131.91,11.39,CM
6.85,9.29,1.43,"10,561.70",31/12/2557,"7,742.94","438,370.73","416,763.86","117,532.26","252,797.61",2.41,CPF
6.51,9.46,1.50,"11,058.74",31/12/2558,"7,742.94","439,413.85","494,262.74","116,364.68","320,537.79",2.52,CPF
7.15,11.76,1.99,"14,702.82",31/12/2559,"7,742.94","476,682.69","582,179.03","133,697.68","388,472.62",3.08,CPF
5.09,10.12,1.91,"15,259.32",31/12/2560,"8,611.24","523,179.98","593,496.95","168,015.20","366,855.09",2.92,CPF
3.31,3.08,0.09,49.91,31/12/2557,560.57,"4,669.05","2,967.48","1,654.41","1,313.07",1.07,CPI
0.28,-1.06,-0.03,-18.28,31/12/2558,632.75,"3,925.44","3,558.12","1,781.95","1,776.17",-0.47,CPI
0.78,-0.92,-0.03,-16.27,31/12/2559,632.75,"5,201.40","4,789.87","1,771.67","3,018.20",-0.31,CPI
1.44,0.91,0.03,16.20,31/12/2560,632.75,"4,986.49","4,511.64","1,768.92","2,742.72",0.32,CPI
-3.44,-4.60,-1.63,-24.47,31/12/2557,150.00,497.77,747.88,518.44,229.45,-4.92,F&D
-12.62,-17.29,-5.50,-82.49,31/12/2558,150.00,485.17,713.90,435.95,277.95,-17.00,F&D
-5.83,-12.80,-4.31,-64.62,31/12/2559,150.00,740.17,"1,017.99",573.40,444.59,-8.73,F&D
-3.38,-7.34,-2.59,-42.49,31/12/2560,176.24,780.72,940.86,585.01,355.86,-5.44,F&D
4.51,7.62,0.58,115.23,31/12/2557,199.22,"5,265.66","3,376.91","1,530.05","1,846.86",2.19,HTC
3.44,5.20,0.51,100.88,31/12/2558,199.22,"5,458.81","4,465.69","2,349.98","2,115.70",1.85,HTC
6.29,10.00,1.21,241.08,31/12/2559,199.22,"5,732.07","4,708.32","2,473.21","2,235.10",4.21,HTC
7.29,11.03,1.42,283.30,31/12/2560,199.22,"5,690.86","4,609.24","2,665.24","1,943.99",4.98,HTC
14.39,26.43,0.89,"1,078.76",31/12/2557,"1,300.00","6,208.89","9,008.23","6,194.93","2,813.30",17.37,ICHI
10.56,13.29,0.63,812.74,31/12/2558,"1,300.00","6,356.77","8,851.60","6,032.44","2,819.16",12.79,ICHI
4.63,6.25,0.28,368.48,31/12/2559,"1,300.00","5,266.09","8,626.86","5,751.25","2,875.61",7.00,ICHI
4.11,5.34,0.24,315.09,31/12/2560,"1,300.00","5,719.03","8,626.30","6,056.17","2,570.13",5.51,ICHI
6.50,8.46,0.56,318.68,31/12/2557,600.00,"6,304.54","7,726.91","4,105.28","3,621.63",5.05,KBS
-0.11,-1.24,-0.08,-50.18,31/12/2558,600.00,"6,726.64","10,069.06","3,970.84","6,098.22",-0.75,KBS
-2.26,-9.45,-0.59,-355.26,31/12/2559,600.00,"7,161.02","10,608.44","3,547.95","7,060.49",-4.96,KBS
-1.41,-11.25,-0.63,-376.64,31/12/2560,600.00,"8,171.88","10,157.60","3,145.73","7,011.86",-4.61,KBS
7.17,13.05,0.97,"1,626.22",31/10/2557,"1,704.65","19,631.42","40,133.70","12,812.03","25,300.89",8.28,KSL
4.71,6.22,0.20,815.39,31/10/2558,"2,004.66","19,526.99","40,176.15","13,409.36","24,687.66",4.18,KSL
6.42,9.64,0.32,"1,426.15",31/10/2559,"2,205.12","18,465.92","38,374.83","16,166.11","21,724.40",7.72,KSL
7.82,11.65,0.45,"1,970.40",31/10/2560,"2,205.12","19,140.23","42,990.72","17,649.99","24,898.49",10.29,KSL
6.33,9.67,0.03,140.70,31/01/2561,"2,205.12","3,336.01","46,509.42","17,681.30","28,393.48",4.22,KSL
10.76,24.31,0.37,"1,365.76",31/12/2557,"3,860.00","20,376.73","18,689.86","8,572.41","10,117.45",6.70,KTIS
5.63,8.46,0.19,729.95,31/12/2558,"3,860.00","19,456.54","18,793.21","8,692.46","10,100.76",3.75,KTIS
-0.41,-6.21,-0.13,-512.53,31/12/2559,"3,860.00","15,086.59","16,052.32","7,821.51","8,230.81",-3.40,KTIS
5.79,8.10,0.17,645.49,31/12/2560,"3,860.00","18,193.03","17,816.13","8,112.15","9,703.98",3.55,KTIS
11.33,14.44,0.46,380.67,31/12/2557,820.00,"8,550.04","5,128.95","2,753.94","2,035.09",4.45,LST
8.12,11.03,0.38,311.42,31/12/2558,820.00,"8,290.81","5,871.27","2,892.79","2,648.11",3.76,LST
8.35,10.97,0.40,330.58,31/12/2559,820.00,"8,351.57","5,947.76","3,133.60","2,455.46",3.96,LST
8.50,12.38,0.49,404.11,31/12/2560,820.00,"8,638.73","6,040.28","3,393.55","2,310.39",4.68,LST
16.95,16.21,2.25,"2,042.38",31/12/2557,907.08,"15,104.54","14,902.85","12,680.70","2,222.15",13.52,M
15.34,14.46,2.04,"1,856.00",31/12/2558,910.25,"14,922.58","15,122.30","12,997.89","2,124.41",12.44,M
16.80,15.92,2.30,"2,099.76",31/12/2559,914.85,"15,498.36","15,642.30","13,377.23","2,265.07",13.55,M
18.70,17.83,2.65,"2,424.85",31/12/2560,920.88,"16,457.74","16,282.73","13,828.64","2,454.09",14.73,M
14.73,29.80,2.22,306.96,31/12/2557,140.00,"4,852.09","2,992.07","1,011.73","1,976.22",6.33,MALEE
14.80,29.25,2.37,330.76,31/12/2558,140.00,"5,512.41","3,060.70","1,249.58","1,806.43",6.00,MALEE
20.33,37.54,3.79,530.02,31/12/2559,140.00,"6,578.77","3,640.24","1,574.53","2,060.92",8.06,MALEE
8.82,17.93,1.02,285.58,31/12/2560,140.00,"5,987.94","4,390.19","1,611.73","2,778.45",4.77,MALEE
9.01,16.56,1.10,"4,401.79",31/12/2557,"4,001.56","39,787.07","74,279.15","28,056.71","44,254.68",11.06,MINT
